"","rating","name","address","price","reviews","reservations","delivery","takeaway","takescard","mealtype","parking","kidfriendly","groupfriendly","dresscode","atmosphere","noise","alcohol","sitoutside","wifi","tv","serving","catering","handicapfriendly","dancing","happyhour","closet","smoking","workfriendly","music","pooltable"
"820",4,NA,"Amager Strandvej 15","
                        200-399 kr
                    ",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821",3.5,"
            Den Plettede Gris
        ","Trangravsvej 5","
                        Under 199 kr
                    ",3,0,0,0,1,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822",3,"
            Workshop Coffee
        ","Frederiksborggade 18","
                        Under 199 kr
                    ",3,NA,0,NA,1,NA,NA,0,0,"
                                Uformel
                            ",NA,"
                                Lavt
                            ","
                                Kun øl og vin
                            ",1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"823",4,"
            Les Trois Cochons
        ","Værnedamsvej 10","
                        400-699 kr
                    ",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824",4,NA,"Amager Strandvej 15","
                        200-399 kr
                    ",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825",3.5,"
            Kafeen i DGI Byen
        ","Tietgensgade 65",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826",3.5,"
            Cock’s & Cows
        ","Gammel Strand 34","
                        200-399 kr
                    ",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",3.5,NA,"Islands Brygge 81 B","
                        200-399 kr
                    ",3,1,1,1,1,NA,NA,1,1,"
                                Uformel
                            ",NA,NA,"
                                Velassorteret bar
                            ",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828",3.5,"
            Sam’s Pizza
        ","Strandboulevarden 57",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829",4,"
            DØP
        ","Købmagergade 52Ved Rundetårn","
                        Under 199 kr
                    ",31,0,0,1,1,"
                                Frokost
                            ",NA,1,1,"
                                Uformel
                            ","
                                Uformel
                            ","
                                Lavt
                            ","
                                Nej
                            ",0,"
                                Nej
                            ",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"830",3,"
            Joe & The Juice
        ","Grønnegade 10, 1. sal",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
